DyadId,ConflictId,Location,SideA,SideA2nd,SideB,SideBID,SideB2nd,Incompatibility,TerritoryName,Year,IntensityLevel,TypeOfConflict,StartDate,StartPrec,StartDate2,StartPrec2,GWNoA,GWNoA2nd,GWNoB,GWNoB2nd,GWNoLoc,Region,Version
469,1-Oct,Philippines,Government of Philippines,,Huk,1009,,2,,1953,2,3,31/07/1946,4,31/07/1946,4,840,,,,840,3,1.0-2016
469,1-Oct,Philippines,Government of Philippines,,Huk,1009,,2,,1952,2,3,31/07/1946,4,31/07/1946,4,840,,,,840,3,1.0-2016
469,1-Oct,Philippines,Government of Philippines,,Huk,1009,,2,,1951,2,3,31/07/1946,4,31/07/1946,4,840,,,,840,3,1.0-2016
469,1-Oct,Philippines,Government of Philippines,,Huk,1009,,2,,1950,2,3,31/07/1946,4,31/07/1946,4,840,,,,840,3,1.0-2016
469,1-Oct,Philippines,Government of Philippines,,Huk,1009,,2,,1949,2,3,31/07/1946,4,31/07/1946,4,840,,,,840,3,1.0-2016
469,1-Oct,Philippines,Government of Philippines,,Huk,1009,,2,,1948,2,3,31/07/1946,4,31/07/1946,4,840,,,,840,3,1.0-2016
469,1-Oct,Philippines,Government of Philippines,,Huk,1009,,2,,1947,2,3,31/07/1946,4,31/07/1946,4,840,,,,840,3,1.0-2016
469,1-Oct,Philippines,Government of Philippines,,Huk,1009,,2,,1946,2,3,31/07/1946,4,31/07/1946,4,840,,,,840,3,1.0-2016
654,1-Feb,Cambodia,Government of France,,Khmer Issarak,1001,,1,Cambodia,1953,1,1,31/08/1946,3,31/08/1946,3,220,,,,811,3,1.0-2016
654,1-Feb,Cambodia,Government of France,,Khmer Issarak,1001,,1,Cambodia,1952,1,1,31/08/1946,3,31/08/1946,3,220,,,,811,3,1.0-2016
654,1-Feb,Cambodia,Government of France,,Khmer Issarak,1001,,1,Cambodia,1951,1,1,31/08/1946,3,31/08/1946,3,220,,,,811,3,1.0-2016
654,1-Feb,Cambodia,Government of France,,Khmer Issarak,1001,,1,Cambodia,1950,1,1,31/08/1946,3,31/08/1946,3,220,,,,811,3,1.0-2016
654,1-Feb,Cambodia,Government of France,,Khmer Issarak,1001,,1,Cambodia,1949,1,1,31/08/1946,3,31/08/1946,3,220,,,,811,3,1.0-2016
654,1-Feb,Cambodia,Government of France,,Khmer Issarak,1001,,1,Cambodia,1948,1,1,31/08/1946,3,31/08/1946,3,220,,,,811,3,1.0-2016
654,1-Feb,Cambodia,Government of France,,Khmer Issarak,1001,,1,Cambodia,1947,1,1,31/08/1946,3,31/08/1946,3,220,,,,811,3,1.0-2016
654,1-Feb,Cambodia,Government of France,,Khmer Issarak,1001,,1,Cambodia,1946,1,1,31/08/1946,3,31/08/1946,3,220,,,,811,3,1.0-2016
579,16-Jan,Albania,Government of Albania,,Government of United Kingdom,200,,1,Korfu Channel,1946,1,2,22/10/1946,1,22/10/1946,1,339,,200,,"200, 339",1,1.0-2016
668,17-Jan,Vietnam,Government of France,,Viet minh,1017,,1,Vietnam,1954,2,1,20/11/1946,1,20/11/1946,1,220,,,,816,3,1.0-2016
668,17-Jan,Vietnam,Government of France,,Viet minh,1017,,1,Vietnam,1953,2,1,20/11/1946,1,20/11/1946,1,220,,,,816,3,1.0-2016
668,17-Jan,Vietnam,Government of France,,Viet minh,1017,,1,Vietnam,1952,2,1,20/11/1946,1,20/11/1946,1,220,,,,816,3,1.0-2016
668,17-Jan,Vietnam,Government of France,,Viet minh,1017,,1,Vietnam,1951,2,1,20/11/1946,1,20/11/1946,1,220,,,,816,3,1.0-2016
668,17-Jan,Vietnam,Government of France,,Viet minh,1017,,1,Vietnam,1950,2,1,20/11/1946,1,20/11/1946,1,220,,,,816,3,1.0-2016
668,17-Jan,Vietnam,Government of France,,Viet minh,1017,,1,Vietnam,1949,2,1,20/11/1946,1,20/11/1946,1,220,,,,816,3,1.0-2016
668,17-Jan,Vietnam,Government of France,,Viet minh,1017,,1,Vietnam,1948,2,1,20/11/1946,1,20/11/1946,1,220,,,,816,3,1.0-2016
668,17-Jan,Vietnam,Government of France,,Viet minh,1017,,1,Vietnam,1947,2,1,20/11/1946,1,20/11/1946,1,220,,,,816,3,1.0-2016
668,17-Jan,Vietnam,Government of France,,Viet minh,1017,,1,Vietnam,1946,2,1,20/11/1946,1,20/11/1946,1,220,,,,816,3,1.0-2016
466,1-Mar,China,Government of China,,PLA,1002,,2,,1949,2,3,31/12/1946,7,31/12/1946,7,710,,,,710,3,1.0-2016
466,1-Mar,China,Government of China,,PLA,1002,,2,,1948,2,3,31/12/1946,7,31/12/1946,7,710,,,,710,3,1.0-2016
466,1-Mar,China,Government of China,,PLA,1002,,2,,1947,2,3,31/12/1946,7,31/12/1946,7,710,,,,710,3,1.0-2016
466,1-Mar,China,Government of China,,PLA,1002,,2,,1946,2,3,31/12/1946,7,31/12/1946,7,710,,,,710,3,1.0-2016
580,18-Jan,China,Government of China,,Taiwanese insurgents,1018,,1,Taiwan,1947,2,3,28/02/1947,1,28/02/1947,1,710,,,,710,3,1.0-2016
673,22-Jan,Paraguay,Government of Paraguay,,"Opposition coalition (Febreristas, Liberals and Communists)",1583,,2,,1947,2,3,7/3/1947,2,31/03/1947,3,150,,,,150,5,1.0-2016
669,21-Jan,Madagascar ,Government of France,,MDRM,1020,,1,Malagasy,1947,2,1,29/03/1947,1,29/03/1947,1,220,,,,580,4,1.0-2016
756,19-Jan,India,Government of India,,CPI,1019,,2,,1948,2,3,30/06/1947,4,30/06/1947,4,751,,,,751,3,1.0-2016
756,19-Jan,India,Government of India,,CPI,1019,,2,,1947,2,3,30/06/1947,4,30/06/1947,4,751,,,,751,3,1.0-2016
799,25-Jan,Myanmar,Government of Myanmar,,APLP,1934,,1,Arakan,1957,1,3,31/01/1948,4,31/01/1948,4,775,,,,775,3,1.0-2016
799,25-Jan,Myanmar,Government of Myanmar,,APLP,1934,,1,Arakan,1956,1,3,31/01/1948,4,31/01/1948,4,775,,,,775,3,1.0-2016
799,25-Jan,Myanmar,Government of Myanmar,,APLP,1934,,1,Arakan,1955,1,3,31/01/1948,4,31/01/1948,4,775,,,,775,3,1.0-2016
799,25-Jan,Myanmar,Government of Myanmar,,APLP,1934,,1,Arakan,1954,1,3,31/01/1948,4,31/01/1948,4,775,,,,775,3,1.0-2016
799,25-Jan,Myanmar,Government of Myanmar,,APLP,1934,,1,Arakan,1953,1,3,31/01/1948,4,31/01/1948,4,775,,,,775,3,1.0-2016
799,25-Jan,Myanmar,Government of Myanmar,,APLP,1934,,1,Arakan,1952,1,3,31/01/1948,4,31/01/1948,4,775,,,,775,3,1.0-2016
799,25-Jan,Myanmar,Government of Myanmar,,APLP,1934,,1,Arakan,1951,1,3,31/01/1948,4,31/01/1948,4,775,,,,775,3,1.0-2016
799,25-Jan,Myanmar,Government of Myanmar,,APLP,1934,,1,Arakan,1950,1,3,31/01/1948,4,31/01/1948,4,775,,,,775,3,1.0-2016
799,25-Jan,Myanmar,Government of Myanmar,,APLP,1934,,1,Arakan,1949,1,3,31/01/1948,4,31/01/1948,4,775,,,,775,3,1.0-2016
799,25-Jan,Myanmar,Government of Myanmar,,APLP,1934,,1,Arakan,1948,1,3,31/01/1948,4,31/01/1948,4,775,,,,775,3,1.0-2016
677,24-Jan,Myanmar,Government of Myanmar,,CPB-RF,1024,,2,,1970,1,3,29/02/1948,4,31/12/1970,4,775,,,,775,3,1.0-2016
677,24-Jan,Myanmar,Government of Myanmar,,CPB-RF,1024,,2,,1950,1,3,29/02/1948,4,29/02/1948,4,775,,,,775,3,1.0-2016
677,24-Jan,Myanmar,Government of Myanmar,,CPB-RF,1024,,2,,1949,1,3,29/02/1948,4,29/02/1948,4,775,,,,775,3,1.0-2016
677,24-Jan,Myanmar,Government of Myanmar,,CPB-RF,1024,,2,,1948,1,3,29/02/1948,4,29/02/1948,4,775,,,,775,3,1.0-2016
581,27-Jan,Costa Rica,Government of Costa Rica,,National Liberation Army,1586,,2,,1948,2,3,3/3/1948,2,3/3/1948,2,94,,,,94,5,1.0-2016
615,Jan-33,Yemen,Government of Yemen,,Opposition coalition,1039,,2,,1948,2,3,15/03/1948,1,15/03/1948,1,678,,,,678,2,1.0-2016
619,30-Jan,Israel,"Government of Egypt, Government of Iraq, Government of Jordan, Government of Lebanon, Government of Syria",,Government of Israel,666,,1,Palestine,1949,1,2,15/04/1948,1,15/04/1948,1,"651, 645, 663, 660, 652",,666,,"666, 651, 645, 663, 660, 652",2,1.0-2016
619,30-Jan,Israel,"Government of Egypt, Government of Iraq, Government of Jordan, Government of Lebanon, Government of Syria",,Government of Israel,666,,1,Palestine,1948,2,2,15/04/1948,1,15/04/1948,1,"651, 645, 663, 660, 652",,666,,"666, 651, 645, 663, 660, 652",2,1.0-2016
689,29-Jan,India,Government of India,,CPI,1019,,2,,1951,2,3,1/5/1948,1,18/09/1948,2,750,,,,750,3,1.0-2016
689,29-Jan,India,Government of India,,CPI,1019,,2,,1950,2,3,1/5/1948,1,18/09/1948,2,750,,,,750,3,1.0-2016
689,29-Jan,India,Government of India,,CPI,1019,,2,,1949,2,3,1/5/1948,1,18/09/1948,2,750,,,,750,3,1.0-2016
689,29-Jan,India,Government of India,,CPI,1019,,2,,1948,2,3,1/5/1948,1,18/09/1948,2,750,,,,750,3,1.0-2016
695,Jan-37,Israel,Government of Israel,,Palestinian insurgents,1044,,1,Palestine,1964,1,3,15/05/1948,1,31/12/1949,5,666,,,,666,2,1.0-2016
695,Jan-37,Israel,Government of Israel,,Palestinian insurgents,1044,,1,Palestine,1963,1,3,15/05/1948,1,31/12/1949,5,666,,,,666,2,1.0-2016
695,Jan-37,Israel,Government of Israel,,Palestinian insurgents,1044,,1,Palestine,1962,1,3,15/05/1948,1,31/12/1949,5,666,,,,666,2,1.0-2016
695,Jan-37,Israel,Government of Israel,,Palestinian insurgents,1044,,1,Palestine,1961,1,3,15/05/1948,1,31/12/1949,5,666,,,,666,2,1.0-2016
695,Jan-37,Israel,Government of Israel,,Palestinian insurgents,1044,,1,Palestine,1960,1,3,15/05/1948,1,31/12/1949,5,666,,,,666,2,1.0-2016
695,Jan-37,Israel,Government of Israel,,Palestinian insurgents,1044,,1,Palestine,1959,1,3,15/05/1948,1,31/12/1949,5,666,,,,666,2,1.0-2016
695,Jan-37,Israel,Government of Israel,,Palestinian insurgents,1044,,1,Palestine,1958,1,3,15/05/1948,1,31/12/1949,5,666,,,,666,2,1.0-2016
695,Jan-37,Israel,Government of Israel,,Palestinian insurgents,1044,,1,Palestine,1957,1,3,15/05/1948,1,31/12/1949,5,666,,,,666,2,1.0-2016
695,Jan-37,Israel,Government of Israel,,Palestinian insurgents,1044,,1,Palestine,1956,1,3,15/05/1948,1,31/12/1949,5,666,,,,666,2,1.0-2016
695,Jan-37,Israel,Government of Israel,,Palestinian insurgents,1044,,1,Palestine,1955,1,3,15/05/1948,1,31/12/1949,5,666,,,,666,2,1.0-2016
695,Jan-37,Israel,Government of Israel,,Palestinian insurgents,1044,,1,Palestine,1954,1,3,15/05/1948,1,31/12/1949,5,666,,,,666,2,1.0-2016
695,Jan-37,Israel,Government of Israel,,Palestinian insurgents,1044,,1,Palestine,1953,1,3,15/05/1948,1,31/12/1949,5,666,,,,666,2,1.0-2016
695,Jan-37,Israel,Government of Israel,,Palestinian insurgents,1044,,1,Palestine,1952,1,3,15/05/1948,1,31/12/1949,5,666,,,,666,2,1.0-2016
695,Jan-37,Israel,Government of Israel,,Palestinian insurgents,1044,,1,Palestine,1951,1,3,15/05/1948,1,31/12/1949,5,666,,,,666,2,1.0-2016
695,Jan-37,Israel,Government of Israel,,Palestinian insurgents,1044,,1,Palestine,1950,1,3,15/05/1948,1,31/12/1949,5,666,,,,666,2,1.0-2016
695,Jan-37,Israel,Government of Israel,,Palestinian insurgents,1044,,1,Palestine,1949,1,3,15/05/1948,1,31/12/1949,5,666,,,,666,2,1.0-2016
305,24-Jan,Myanmar,Government of Myanmar,,CPB,1023,,2,,1988,2,3,31/05/1948,4,31/08/1948,4,775,,,,775,3,1.0-2016
305,24-Jan,Myanmar,Government of Myanmar,,CPB,1023,,2,,1987,1,3,31/05/1948,4,31/08/1948,4,775,,,,775,3,1.0-2016
305,24-Jan,Myanmar,Government of Myanmar,,CPB,1023,,2,,1986,2,3,31/05/1948,4,31/08/1948,4,775,,,,775,3,1.0-2016
305,24-Jan,Myanmar,Government of Myanmar,,CPB,1023,,2,,1985,1,3,31/05/1948,4,31/08/1948,4,775,,,,775,3,1.0-2016
305,24-Jan,Myanmar,Government of Myanmar,,CPB,1023,,2,,1984,1,3,31/05/1948,4,31/08/1948,4,775,,,,775,3,1.0-2016
305,24-Jan,Myanmar,Government of Myanmar,,CPB,1023,,2,,1983,1,3,31/05/1948,4,31/08/1948,4,775,,,,775,3,1.0-2016
305,24-Jan,Myanmar,Government of Myanmar,,CPB,1023,,2,,1982,2,3,31/05/1948,4,31/08/1948,4,775,,,,775,3,1.0-2016
305,24-Jan,Myanmar,Government of Myanmar,,CPB,1023,,2,,1981,1,3,31/05/1948,4,31/08/1948,4,775,,,,775,3,1.0-2016
305,24-Jan,Myanmar,Government of Myanmar,,CPB,1023,,2,,1980,2,3,31/05/1948,4,31/08/1948,4,775,,,,775,3,1.0-2016
305,24-Jan,Myanmar,Government of Myanmar,,CPB,1023,,2,,1979,2,3,31/05/1948,4,31/08/1948,4,775,,,,775,3,1.0-2016
305,24-Jan,Myanmar,Government of Myanmar,,CPB,1023,,2,,1978,2,3,31/05/1948,4,31/08/1948,4,775,,,,775,3,1.0-2016
305,24-Jan,Myanmar,Government of Myanmar,,CPB,1023,,2,,1977,2,3,31/05/1948,4,31/08/1948,4,775,,,,775,3,1.0-2016
305,24-Jan,Myanmar,Government of Myanmar,,CPB,1023,,2,,1976,2,3,31/05/1948,4,31/08/1948,4,775,,,,775,3,1.0-2016
305,24-Jan,Myanmar,Government of Myanmar,,CPB,1023,,2,,1975,2,3,31/05/1948,4,31/08/1948,4,775,,,,775,3,1.0-2016
305,24-Jan,Myanmar,Government of Myanmar,,CPB,1023,,2,,1974,2,3,31/05/1948,4,31/08/1948,4,775,,,,775,3,1.0-2016
305,24-Jan,Myanmar,Government of Myanmar,,CPB,1023,,2,,1973,2,3,31/05/1948,4,31/08/1948,4,775,,,,775,3,1.0-2016
305,24-Jan,Myanmar,Government of Myanmar,,CPB,1023,,2,,1972,2,3,31/05/1948,4,31/08/1948,4,775,,,,775,3,1.0-2016
305,24-Jan,Myanmar,Government of Myanmar,,CPB,1023,,2,,1971,2,3,31/05/1948,4,31/08/1948,4,775,,,,775,3,1.0-2016
305,24-Jan,Myanmar,Government of Myanmar,,CPB,1023,,2,,1970,2,3,31/05/1948,4,31/08/1948,4,775,,,,775,3,1.0-2016
305,24-Jan,Myanmar,Government of Myanmar,,CPB,1023,,2,,1969,2,3,31/05/1948,4,31/08/1948,4,775,,,,775,3,1.0-2016
305,24-Jan,Myanmar,Government of Myanmar,,CPB,1023,,2,,1968,2,3,31/05/1948,4,31/08/1948,4,775,,,,775,3,1.0-2016
305,24-Jan,Myanmar,Government of Myanmar,,CPB,1023,,2,,1967,1,3,31/05/1948,4,31/08/1948,4,775,,,,775,3,1.0-2016
305,24-Jan,Myanmar,Government of Myanmar,,CPB,1023,,2,,1966,1,3,31/05/1948,4,31/08/1948,4,775,,,,775,3,1.0-2016
305,24-Jan,Myanmar,Government of Myanmar,,CPB,1023,,2,,1965,1,3,31/05/1948,4,31/08/1948,4,775,,,,775,3,1.0-2016
305,24-Jan,Myanmar,Government of Myanmar,,CPB,1023,,2,,1964,1,3,31/05/1948,4,31/08/1948,4,775,,,,775,3,1.0-2016
305,24-Jan,Myanmar,Government of Myanmar,,CPB,1023,,2,,1963,1,3,31/05/1948,4,31/08/1948,4,775,,,,775,3,1.0-2016
305,24-Jan,Myanmar,Government of Myanmar,,CPB,1023,,2,,1962,1,3,31/05/1948,4,31/08/1948,4,775,,,,775,3,1.0-2016
305,24-Jan,Myanmar,Government of Myanmar,,CPB,1023,,2,,1961,1,3,31/05/1948,4,31/08/1948,4,775,,,,775,3,1.0-2016
305,24-Jan,Myanmar,Government of Myanmar,,CPB,1023,,2,,1960,1,3,31/05/1948,4,31/08/1948,4,775,,,,775,3,1.0-2016
305,24-Jan,Myanmar,Government of Myanmar,,CPB,1023,,2,,1959,1,3,31/05/1948,4,31/08/1948,4,775,,,,775,3,1.0-2016
305,24-Jan,Myanmar,Government of Myanmar,,CPB,1023,,2,,1958,1,3,31/05/1948,4,31/08/1948,4,775,,,,775,3,1.0-2016
305,24-Jan,Myanmar,Government of Myanmar,,CPB,1023,,2,,1957,1,3,31/05/1948,4,31/08/1948,4,775,,,,775,3,1.0-2016
305,24-Jan,Myanmar,Government of Myanmar,,CPB,1023,,2,,1956,1,3,31/05/1948,4,31/08/1948,4,775,,,,775,3,1.0-2016
305,24-Jan,Myanmar,Government of Myanmar,,CPB,1023,,2,,1955,1,3,31/05/1948,4,31/08/1948,4,775,,,,775,3,1.0-2016
305,24-Jan,Myanmar,Government of Myanmar,,CPB,1023,,2,,1954,1,3,31/05/1948,4,31/08/1948,4,775,,,,775,3,1.0-2016
305,24-Jan,Myanmar,Government of Myanmar,,CPB,1023,,2,,1953,2,3,31/05/1948,4,31/08/1948,4,775,,,,775,3,1.0-2016
305,24-Jan,Myanmar,Government of Myanmar,,CPB,1023,,2,,1952,2,3,31/05/1948,4,31/08/1948,4,775,,,,775,3,1.0-2016
305,24-Jan,Myanmar,Government of Myanmar,,CPB,1023,,2,,1951,2,3,31/05/1948,4,31/08/1948,4,775,,,,775,3,1.0-2016
305,24-Jan,Myanmar,Government of Myanmar,,CPB,1023,,2,,1950,2,3,31/05/1948,4,31/08/1948,4,775,,,,775,3,1.0-2016
305,24-Jan,Myanmar,Government of Myanmar,,CPB,1023,,2,,1949,2,3,31/05/1948,4,31/08/1948,4,775,,,,775,3,1.0-2016
305,24-Jan,Myanmar,Government of Myanmar,,CPB,1023,,2,,1948,2,3,31/05/1948,4,31/08/1948,4,775,,,,775,3,1.0-2016
693,31-Jan,Malaysia,Government of United Kingdom,"Government of Australia, Government of New Zealand",CPM,1038,,1,Malaya,1957,1,1,19/06/1948,1,19/06/1948,1,200,"900, 920",,,820,3,1.0-2016
693,31-Jan,Malaysia,Government of United Kingdom,"Government of Australia, Government of New Zealand",CPM,1038,,1,Malaya,1956,1,1,19/06/1948,1,19/06/1948,1,200,"900, 920",,,820,3,1.0-2016
693,31-Jan,Malaysia,Government of United Kingdom,"Government of Australia, Government of New Zealand",CPM,1038,,1,Malaya,1955,1,1,19/06/1948,1,19/06/1948,1,200,"900, 920",,,820,3,1.0-2016
693,31-Jan,Malaysia,Government of United Kingdom,"Government of Australia, Government of New Zealand",CPM,1038,,1,Malaya,1954,1,1,19/06/1948,1,19/06/1948,1,200,"900, 920",,,820,3,1.0-2016
693,31-Jan,Malaysia,Government of United Kingdom,"Government of Australia, Government of New Zealand",CPM,1038,,1,Malaya,1953,2,1,19/06/1948,1,19/06/1948,1,200,"900, 920",,,820,3,1.0-2016
693,31-Jan,Malaysia,Government of United Kingdom,"Government of Australia, Government of New Zealand",CPM,1038,,1,Malaya,1952,2,1,19/06/1948,1,19/06/1948,1,200,"900, 920",,,820,3,1.0-2016
